tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
176,2019-10-07 00:00:01.5740,2019-10-07 00:02:57.8570,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,4271,Subscriber,1983,1,15682,-71.11546265,42.37667185,59761,-71.10483669999999,42.37598379999999,1.0,177.0
193,2019-10-07 00:00:43.0660,2019-10-07 00:03:56.4360,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,19,Park Dr at Buswell St,42.347241,-71.105301,3198,Subscriber,1999,2,1367,-71.1072140530869,42.348029676245716,1329,-71.10283129999998,42.34755245,43.0,236.0
159,2019-10-07 00:01:29.1760,2019-10-07 00:04:08.3340,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,1673,Subscriber,1999,1,135182,-71.11893646026459,42.34941039124965,255110,-71.12568557170766,42.35192522636158,89.0,248.0
540,2019-10-07 00:01:30.6650,2019-10-07 00:10:31.6250,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,3428,Customer,1969,0,61574,-71.10303001442283,42.33932093983403,248688,-71.08649508369884,42.33661119098483,90.0,631.0
531,2019-10-07 00:01:30.8390,2019-10-07 00:10:22.4090,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,4760,Customer,1969,0,187172,-71.09799889800266,42.341801755476055,248542,-71.08544634820849,42.33675574691266,90.0,622.0
434,2019-10-07 00:02:17.3090,2019-10-07 00:09:31.5230,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3287,Subscriber,1998,1,2120,-71.12511220957754,42.34261683508675,62951,-71.10022151845573,42.34839795026659,137.0,571.0
676,2019-10-07 00:02:26.7850,2019-10-07 00:13:43.2080,392,Glendale Square (Ferry St at Broadway),42.41480160999569,-71.04772560316633,390,Broadway at Lynde St,42.39648358247693,-71.06546759905541,5663,Customer,1981,1,164051,-71.0489111,42.412890499999996,19876,-71.06480844653545,42.39401988433073,146.0,823.0
132,2019-10-07 00:02:44.8560,2019-10-07 00:04:56.9050,21,Prudential Center - Belvedere St,42.346520039984114,-71.08065776545118,417,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,3877,Subscriber,1995,1,248744,-71.07849421391751,42.34495715309161,250696,-71.07562105000001,42.345034049999995,164.0,296.0
1930,2019-10-07 00:02:51.3480,2019-10-07 00:35:01.5200,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,2557,Customer,1985,1,116343,-71.12228813760859,42.35119947088726,246321,-71.11998234173217,42.3720662457826,171.0,2101.0
597,2019-10-07 00:02:58.3520,2019-10-07 00:12:55.7150,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,4010,Subscriber,1997,1,201811,-71.09044937799496,42.35955835402915,1260,-71.09582660472115,42.34977542715086,178.0,775.0
630,2019-10-07 00:03:41.9880,2019-10-07 00:14:12.3950,5,Northeastern University - North Parking Lot,42.341814,-71.090179,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,5362,Subscriber,1993,1,377,-71.08675400000001,42.3422638,56560,-71.10686237256166,42.33348873872665,221.0,852.0
1404,2019-10-07 00:03:42.7100,2019-10-07 00:27:07.0370,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,204,Walnut Ave at Warren St,42.324081,-71.083235,3858,Subscriber,1994,1,256877,-71.05809709399438,42.351389325081456,47957,-71.08061314999999,42.325082699999996,222.0,1627.0
796,2019-10-07 00:04:40.9940,2019-10-07 00:17:57.3810,61,Boylston St at Fairfield St,42.348762,-71.082383,44,Congress St at North St,42.36041774637169,-71.05752243543975,6146,Subscriber,1994,1,248124,-71.08326794999999,42.3491587,214264,-71.06109385770353,42.36026319107533,280.0,1077.0
552,2019-10-07 00:06:52.1970,2019-10-07 00:16:05.0870,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3894,Subscriber,2001,1,6765,-71.11496308086181,42.37031254806508,201805,-71.0923991735748,42.35900790575149,412.0,965.0
846,2019-10-07 00:07:05.6300,2019-10-07 00:21:12.0710,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,59,Chinatown Gate Plaza,42.351356,-71.05936700000001,3552,Subscriber,1973,2,100878,-71.09753117235071,42.337577434181064,248930,-71.05969284853619,42.353481572218826,425.0,1272.0
240,2019-10-07 00:07:25.9850,2019-10-07 00:11:26.2400,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5414,Subscriber,1997,1,246347,-71.10132949707042,42.36334461514631,225717,-71.09378565,42.3574682,445.0,686.0
828,2019-10-07 00:09:13.4160,2019-10-07 00:23:01.9710,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,115,Porter Square Station,42.387995000000004,-71.119084,4898,Subscriber,1991,2,118329,-71.10210963748604,42.372317097667434,182505,-71.1192274,42.39062595,553.0,1381.0
942,2019-10-07 00:09:29.2490,2019-10-07 00:25:11.5830,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,409,Elm St at White St,42.38952436305763,-71.11694140364307,4482,Subscriber,1994,1,137193,-71.09380998503288,42.36819609659608,87328,-71.11439237766494,42.387667934184954,569.0,1511.0
1620,2019-10-07 00:10:56.3350,2019-10-07 00:37:56.8140,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,188,Foss Park,42.39108438146733,-71.09039425849916,3717,Customer,1998,1,247789,-71.08775243333334,42.3497454655562,19990,-71.08915991580757,42.38928664888152,656.0,2276.0
4217,2019-10-07 00:11:19.1750,2019-10-07 01:21:36.4020,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,189,Kendall T,42.362427842912396,-71.08495473861693,4933,Subscriber,1982,0,201825,-71.09352709793748,42.36011991473893,225269,-71.08435148284433,42.36380294338639,679.0,4896.0
799,2019-10-07 00:11:37.2620,2019-10-07 00:24:56.6760,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5474,Subscriber,1991,1,201824,-71.09375344290599,42.360189607699375,117393,-71.11135992645193,42.372043877493624,697.0,1496.0
785,2019-10-07 00:11:47.9830,2019-10-07 00:24:53.6750,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,6033,Subscriber,1988,1,201815,-71.09306010155241,42.36038338513815,96581,-71.11420192241384,42.372957309725315,707.0,1493.0
888,2019-10-07 00:12:20.5790,2019-10-07 00:27:09.2760,157,Seaport Blvd at Sleeper St,42.353178091862524,-71.04817356923377,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,5780,Customer,1969,0,202812,-71.05138596924664,42.35418224248318,186158,-71.07688167120314,42.335130927243526,740.0,1629.0
297,2019-10-07 00:13:39.4730,2019-10-07 00:18:37.3520,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,377,Perry Park,42.3792732460084,-71.10341902831351,4742,Subscriber,1988,1,246659,-71.11844513524835,42.38029675089237,6512,-71.10530678002293,42.377632877689784,819.0,1117.0
222,2019-10-07 00:13:44.1450,2019-10-07 00:17:26.8480,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3797,Customer,1997,1,247242,-71.08663506594175,42.351371384117655,201803,-71.09318083451939,42.35929494280543,824.0,1046.0
1920,2019-10-07 00:14:05.1780,2019-10-07 00:46:05.6130,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,37,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,5444,Subscriber,1989,1,214992,-71.06831395677199,42.328069936934554,58567,-71.14655825,42.35884025,845.0,2765.0
1396,2019-10-07 00:15:22.2360,2019-10-07 00:38:38.9100,5,Northeastern University - North Parking Lot,42.341814,-71.090179,82,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,2930,Subscriber,1995,1,409,-71.0886716539234,42.342840789684836,57845,-71.14256866898965,42.33802907705796,922.0,2318.0
697,2019-10-07 00:16:10.0710,2019-10-07 00:27:47.2800,372,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,2662,Subscriber,1995,1,248013,-71.08100095,42.34977950000001,202845,-71.09847619520494,42.35929468676163,970.0,1667.0
214,2019-10-07 00:16:40.3970,2019-10-07 00:20:14.7700,385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,5568,Subscriber,1989,1,70145,-71.07020786774943,42.33548846442791,254775,-71.07448005,42.3433017,1000.0,1214.0
559,2019-10-07 00:17:07.8070,2019-10-07 00:26:27.0210,120,Beacon St at Charles St,42.356052000000005,-71.069849,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,5981,Customer,1998,1,250342,-71.07087092477704,42.358114978088494,1255,-71.09666435,42.35027705000001,1027.0,1587.0
230,2019-10-07 00:18:09.0240,2019-10-07 00:21:59.9900,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,3723,Subscriber,1991,1,188879,-71.08133505700155,42.36158799315877,11398,-71.09243172825305,42.36808026044853,1089.0,1319.0
671,2019-10-07 00:18:48.2020,2019-10-07 00:29:59.7810,233,St Mary's,42.346197076555455,-71.10728681087494,8,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,4143,Subscriber,1991,1,258179,-71.10705279486112,42.34485686692865,173737,-71.13933876542859,42.35440677802211,1128.0,1799.0
481,2019-10-07 00:24:37.8460,2019-10-07 00:32:39.2490,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,3229,Subscriber,1996,1,248410,-71.0830035,42.34332525,246679,-71.09961299848405,42.34459627017427,1477.0,1959.0
1187,2019-10-07 00:24:58.3100,2019-10-07 00:44:46.0820,345,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,50,Boylston St at Berkeley St,42.351141982547496,-71.07329249382019,3261,Subscriber,1999,1,248061,-71.07132178978136,42.3514275380439,248232,-71.07681818792184,42.35179736540331,1498.0,2686.0
778,2019-10-07 00:25:48.6140,2019-10-07 00:38:46.8270,318,Ames St at Broadway,42.363692900000004,-71.0875672,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,3355,Subscriber,1995,1,48370,-71.08484190000001,42.3641353,15619,-71.10273362524472,42.37739196546297,1548.0,2326.0
583,2019-10-07 00:26:20.8250,2019-10-07 00:36:04.2600,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,6009,Subscriber,1997,1,89957,-71.09982429848448,42.34557791840279,173224,-71.10604959999999,42.3328987,1580.0,2164.0
490,2019-10-07 00:27:01.4520,2019-10-07 00:35:11.8160,185,Third at Binney,42.365444861373994,-71.0827714204788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3084,Subscriber,1998,1,156674,-71.08349965410218,42.36706790586602,4323,-71.09477062896336,42.3590493371848,1621.0,2111.0
343,2019-10-07 00:27:26.6550,2019-10-07 00:33:10.0970,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3797,Subscriber,1998,1,45423,-71.0935174163953,42.35825591799676,260133,-71.0996647,42.349001900000005,1646.0,1990.0
