tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
780,2019-10-12 00:04:16.2290,2019-10-12 00:17:17.1730,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,195,Child St at North St,42.37150494100319,-71.07249312120985,4670,Subscriber,1988,2,120939,-71.11341390000001,42.37402855,225533,-71.07003610821549,42.37024766379478,256.0,1037.0,True,True
607,2019-10-12 00:06:41.3590,2019-10-12 00:16:48.8690,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,378,191 Beacon St,42.380323350454155,-71.10878612855231,5782,Subscriber,1994,0,6729,-71.11913594540731,42.37166414387711,96442,-71.1098592806618,42.378203361095146,401.0,1008.0,True,True
399,2019-10-12 00:13:43.0320,2019-10-12 00:20:22.2090,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,4502,Subscriber,1990,1,85456,-71.10247759827973,42.363108766903046,66002,-71.0967333825352,42.368612434784964,823.0,1222.0,True,True
646,2019-10-12 00:15:00.0650,2019-10-12 00:25:46.8880,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,143,EF - North Point Park,42.369885,-71.06995699999997,2985,Subscriber,1995,1,11148,-71.08699854058065,42.37233658888452,259214,-71.07057032940055,42.37139204943511,900.0,1546.0,True,True
266,2019-10-12 00:27:08.2650,2019-10-12 00:31:35.0010,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,5294,Customer,1969,0,96604,-71.12041122546928,42.37193927534749,4896,-71.11548142670247,42.36903330979822,1628.0,1895.0,True,True
559,2019-10-12 00:31:16.2030,2019-10-12 00:40:36.1930,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,3196,Subscriber,1996,1,6766,-71.10183251504017,42.37021322957692,180715,-71.07853441760585,42.370314852568434,1876.0,2436.0,True,True
427,2019-10-12 00:32:05.6400,2019-10-12 00:39:13.2270,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,4821,Subscriber,1989,1,15421,-71.11790305066145,42.379015768095336,96553,-71.12093099039912,42.37485538450299,1925.0,2353.0,True,True
293,2019-10-12 00:32:46.9830,2019-10-12 00:37:40.9670,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,5014,Subscriber,1994,1,181543,-71.10019707441381,42.36751596538989,246686,-71.09934808426324,42.36146793544852,1966.0,2260.0,True,True
392,2019-10-12 00:40:27.1400,2019-10-12 00:46:59.3410,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,6076,Subscriber,1997,1,245876,-71.08779437761635,42.361780420188936,85678,-71.10144210578619,42.35879081343012,2427.0,2819.0,True,True
299,2019-10-12 00:40:38.7140,2019-10-12 00:45:38.5650,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,177,University Park,42.36264779118595,-71.1000609397888,3831,Subscriber,1990,1,225883,-71.08963932269906,42.37344580504949,69955,-71.09726584001245,42.36379031385546,2438.0,2738.0,True,True
