tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
552,2019-10-07 00:06:52.1970,2019-10-07 00:16:05.0870,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3894,Subscriber,2001,1,6723,-71.11263788349534,42.37182653982679,4334,-71.09414158387548,42.35832148424796,412.0,965.0,True,True
240,2019-10-07 00:07:25.9850,2019-10-07 00:11:26.2400,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5414,Subscriber,1997,1,162289,-71.10440066391115,42.36757389673468,45423,-71.09351741639529,42.35825591799676,445.0,686.0,True,True
4217,2019-10-07 00:11:19.1750,2019-10-07 01:21:36.4020,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,189,Kendall T,42.362427842912396,-71.08495473861693,4933,Subscriber,1982,0,91900,-71.09058495071027,42.36456765116324,101528,-71.08748081038267,42.36280807589264,679.0,4896.0,True,True
799,2019-10-07 00:11:37.2620,2019-10-07 00:24:56.6760,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5474,Subscriber,1991,1,41556,-71.09580711302365,42.356682935493545,120056,-71.11296919967313,42.37336273840586,697.0,1496.0,True,True
785,2019-10-07 00:11:47.9830,2019-10-07 00:24:53.6750,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,6033,Subscriber,1988,1,201809,-71.09108473972115,42.35945065790162,60858,-71.11159760000002,42.370915000000004,707.0,1493.0,True,True
230,2019-10-07 00:18:09.0240,2019-10-07 00:21:59.9900,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3723,Subscriber,1991,1,259926,-71.08279250164853,42.362641914820884,91387,-71.09154129999997,42.36837425,1089.0,1319.0,True,True
490,2019-10-07 00:27:01.4520,2019-10-07 00:35:11.8160,185,Third at Binney,42.365444861374,-71.08277142047879,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3084,Subscriber,1998,1,138469,-71.08260995586325,42.36810001900112,201811,-71.09044937799496,42.35955835402915,1621.0,2111.0,True,True
199,2019-10-07 00:28:15.9520,2019-10-07 00:31:35.1180,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,2919,Subscriber,1994,1,125410,-71.09493171533784,42.36556250170595,116408,-71.09949343068301,42.37059632198411,1695.0,1895.0,True,True
271,2019-10-07 00:37:36.0550,2019-10-07 00:42:07.2280,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,5194,Customer,1992,1,176475,-71.10638530488612,42.364546619751074,17348,-71.1001440655598,42.3700623106259,2256.0,2527.0,True,True
690,2019-10-07 00:39:52.8260,2019-10-07 00:51:23.5970,179,MIT Vassar St,42.35560121327927,-71.10394477844237,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,3027,Customer,1969,0,85709,-71.10192810158027,42.35765891586331,184701,-71.11382718196816,42.37008154324749,2392.0,3083.0,True,True
382,2019-10-07 00:41:35.8970,2019-10-07 00:47:58.5430,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.3636929,-71.0875672,3894,Subscriber,1991,1,45423,-71.09351741639529,42.35825591799676,225149,-71.08704649999999,42.36552715000001,2495.0,2878.0,True,True
