tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
176,2019-10-07 00:00:01.5740,2019-10-07 00:02:57.8570,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,4271,Subscriber,1983,1,59818,-71.1192581406561,42.37669707761058,7505,-71.10551716306381,42.37978967187318,1.0,177.0
193,2019-10-07 00:00:43.0660,2019-10-07 00:03:56.4360,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,19,Park Dr at Buswell St,42.347241,-71.105301,3198,Subscriber,1999,2,4431,-71.10897115,42.34786065,3014,-71.10506935035322,42.34588841630191,43.0,236.0
159,2019-10-07 00:01:29.1760,2019-10-07 00:04:08.3340,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,1673,Subscriber,1999,1,85905,-71.11860013489154,42.350369868290784,259381,-71.12053196309893,42.352918063599446,89.0,248.0
540,2019-10-07 00:01:30.6650,2019-10-07 00:10:31.6250,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,3428,Customer,1969,0,189985,-71.09815982502971,42.341672569336346,28109,-71.08798017915883,42.338376669545916,90.0,631.0
531,2019-10-07 00:01:30.8390,2019-10-07 00:10:22.4090,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,4760,Customer,1969,0,187172,-71.09799889800266,42.341801755476055,189420,-71.0893060648664,42.33807471226584,90.0,622.0
434,2019-10-07 00:02:17.3090,2019-10-07 00:09:31.5230,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3287,Subscriber,1998,1,183499,-71.12293262004565,42.342813205506275,2166,-71.09392325364479,42.349393424372266,137.0,571.0
676,2019-10-07 00:02:26.7850,2019-10-07 00:13:43.2080,392,Glendale Square (Ferry St at Broadway),42.41480160999569,-71.04772560316633,390,Broadway at Lynde St,42.39648358247693,-71.06546759905541,5663,Customer,1981,1,75376,-71.04789035,42.41731635,137670,-71.06437951554281,42.39717869813528,146.0,823.0
132,2019-10-07 00:02:44.8560,2019-10-07 00:04:56.9050,21,Prudential Center - Belvedere St,42.346520039984114,-71.08065776545118,417,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,3877,Subscriber,1995,1,248364,-71.08050829999999,42.34535245,254653,-71.07516006629972,42.34391098599489,164.0,296.0
1930,2019-10-07 00:02:51.3480,2019-10-07 00:35:01.5200,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,2557,Customer,1985,1,85918,-71.12431599834306,42.34991850173143,257069,-71.1193058879499,42.37319301036808,171.0,2101.0
597,2019-10-07 00:02:58.3520,2019-10-07 00:12:55.7150,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,4010,Subscriber,1997,1,257042,-71.09446881670513,42.36185130030653,260498,-71.09535541089623,42.34887593372432,178.0,775.0
630,2019-10-07 00:03:41.9880,2019-10-07 00:14:12.3950,5,Northeastern University - North Parking Lot,42.341814,-71.090179,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,5362,Subscriber,1993,1,204055,-71.08790728605356,42.34145627879467,217915,-71.10485256767005,42.334980369461356,221.0,852.0
1404,2019-10-07 00:03:42.7100,2019-10-07 00:27:07.0370,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,204,Walnut Ave at Warren St,42.324081,-71.083235,3858,Subscriber,1994,1,246240,-71.05763068966885,42.350903074252486,2571,-71.08386378709721,42.32314696686434,222.0,1627.0
796,2019-10-07 00:04:40.9940,2019-10-07 00:17:57.3810,61,Boylston St at Fairfield St,42.348762,-71.082383,44,Congress St at North St,42.36041774637169,-71.05752243543975,6146,Subscriber,1994,1,248146,-71.08352680604284,42.34955797724918,286,-71.05829464640223,42.35796712428779,280.0,1077.0
552,2019-10-07 00:06:52.1970,2019-10-07 00:16:05.0870,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3894,Subscriber,2001,1,6723,-71.11263788349534,42.371826539826785,4334,-71.09414158387548,42.35832148424796,412.0,965.0
846,2019-10-07 00:07:05.6300,2019-10-07 00:21:12.0710,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,59,Chinatown Gate Plaza,42.351356,-71.05936700000001,3552,Subscriber,1973,2,48149,-71.09940391420247,42.33738300468551,44806,-71.0599507272479,42.35051622717426,425.0,1272.0
240,2019-10-07 00:07:25.9850,2019-10-07 00:11:26.2400,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5414,Subscriber,1997,1,162289,-71.10440066391115,42.367573896734676,45423,-71.0935174163953,42.35825591799676,445.0,686.0
828,2019-10-07 00:09:13.4160,2019-10-07 00:23:01.9710,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,115,Porter Square Station,42.387995000000004,-71.119084,4898,Subscriber,1991,2,102776,-71.09921526981472,42.37454398386211,87366,-71.12054948173443,42.38662069028779,553.0,1381.0
942,2019-10-07 00:09:29.2490,2019-10-07 00:25:11.5830,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,409,Elm St at White St,42.38952436305763,-71.11694140364307,4482,Subscriber,1994,1,20723,-71.09145484177327,42.3685288945393,62019,-71.11668373210036,42.39015378340019,569.0,1511.0
1620,2019-10-07 00:10:56.3350,2019-10-07 00:37:56.8140,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,188,Foss Park,42.39108438146733,-71.09039425849916,3717,Customer,1998,1,601,-71.08622000455345,42.345715679064476,10037,-71.09315415987035,42.39052228593911,656.0,2276.0
4217,2019-10-07 00:11:19.1750,2019-10-07 01:21:36.4020,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,189,Kendall T,42.362427842912396,-71.08495473861693,4933,Subscriber,1982,0,91900,-71.09058495071027,42.36456765116324,101528,-71.08748081038267,42.362808075892644,679.0,4896.0
799,2019-10-07 00:11:37.2620,2019-10-07 00:24:56.6760,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5474,Subscriber,1991,1,41556,-71.09580711302365,42.356682935493545,120056,-71.11296919967312,42.37336273840586,697.0,1496.0
785,2019-10-07 00:11:47.9830,2019-10-07 00:24:53.6750,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,6033,Subscriber,1988,1,201809,-71.09108473972115,42.35945065790162,60858,-71.11159760000001,42.370915,707.0,1493.0
888,2019-10-07 00:12:20.5790,2019-10-07 00:27:09.2760,157,Seaport Blvd at Sleeper St,42.353178091862524,-71.04817356923377,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,5780,Customer,1969,0,257139,-71.04707036870154,42.351279087586455,254283,-71.07758438423629,42.337303347848824,740.0,1629.0
297,2019-10-07 00:13:39.4730,2019-10-07 00:18:37.3520,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,377,Perry Park,42.3792732460084,-71.10341902831351,4742,Subscriber,1988,1,87822,-71.1187878306768,42.37707675879132,7543,-71.10300832509525,42.378487246569115,819.0,1117.0
222,2019-10-07 00:13:44.1450,2019-10-07 00:17:26.8480,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3797,Customer,1997,1,247223,-71.0874943333935,42.351617065634066,259989,-71.09485891496605,42.3562401012079,824.0,1046.0
1920,2019-10-07 00:14:05.1780,2019-10-07 00:46:05.6130,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,37,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,5444,Subscriber,1989,1,259603,-71.06392315798544,42.32511092412892,45246,-71.14948138445833,42.35673353119673,845.0,2765.0
1396,2019-10-07 00:15:22.2360,2019-10-07 00:38:38.9100,5,Northeastern University - North Parking Lot,42.341814,-71.090179,82,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,2930,Subscriber,1995,1,645,-71.08694955000001,42.342887649999994,120157,-71.14163905000001,42.3397013,922.0,2318.0
697,2019-10-07 00:16:10.0710,2019-10-07 00:27:47.2800,372,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,2662,Subscriber,1995,1,259264,-71.07939877724284,42.347472383116845,28084,-71.0987203985496,42.36003572504835,970.0,1667.0
214,2019-10-07 00:16:40.3970,2019-10-07 00:20:14.7700,385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,5568,Subscriber,1989,1,254655,-71.06984346485169,42.33718715342994,254402,-71.07529579999999,42.33898274999999,1000.0,1214.0
559,2019-10-07 00:17:07.8070,2019-10-07 00:26:27.0210,120,Beacon St at Charles St,42.356052000000005,-71.069849,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,5981,Customer,1998,1,250266,-71.07117662067648,42.356352733542266,1307,-71.09933312669615,42.35046394504772,1027.0,1587.0
230,2019-10-07 00:18:09.0240,2019-10-07 00:21:59.9900,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,3723,Subscriber,1991,1,259926,-71.08279250164853,42.36264191482088,91387,-71.09154129999999,42.36837425,1089.0,1319.0
671,2019-10-07 00:18:48.2020,2019-10-07 00:29:59.7810,233,St Mary's,42.346197076555455,-71.10728681087494,8,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,4143,Subscriber,1991,1,117686,-71.10393244457805,42.34615782166429,173737,-71.13933876542859,42.35440677802211,1128.0,1799.0
481,2019-10-07 00:24:37.8460,2019-10-07 00:32:39.2490,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,3229,Subscriber,1996,1,585,-71.08498834999999,42.34551345,257247,-71.09919165696454,42.345515074289466,1477.0,1959.0
1187,2019-10-07 00:24:58.3100,2019-10-07 00:44:46.0820,345,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,50,Boylston St at Berkeley St,42.351141982547496,-71.07329249382019,3261,Subscriber,1999,1,249070,-71.06879948460242,42.349631395967364,25955,-71.07591122445763,42.35163993317262,1498.0,2686.0
778,2019-10-07 00:25:48.6140,2019-10-07 00:38:46.8270,318,Ames St at Broadway,42.363692900000004,-71.0875672,79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,3355,Subscriber,1995,1,225269,-71.08435148284433,42.36380294338639,17042,-71.10395639999999,42.377725700000006,1548.0,2326.0
583,2019-10-07 00:26:20.8250,2019-10-07 00:36:04.2600,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,6009,Subscriber,1997,1,26505,-71.09909145758924,42.3434589255259,85333,-71.10533814840187,42.33256766108974,1580.0,2164.0
490,2019-10-07 00:27:01.4520,2019-10-07 00:35:11.8160,185,Third at Binney,42.365444861373994,-71.0827714204788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3084,Subscriber,1998,1,138469,-71.08260995586325,42.36810001900112,201811,-71.09044937799496,42.35955835402915,1621.0,2111.0
343,2019-10-07 00:27:26.6550,2019-10-07 00:33:10.0970,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3797,Subscriber,1998,1,4365,-71.09515103136056,42.359634377164696,260498,-71.09535541089623,42.34887593372432,1646.0,1990.0
199,2019-10-07 00:28:15.9520,2019-10-07 00:31:35.1180,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,2919,Subscriber,1994,1,125410,-71.09493171533785,42.36556250170595,116408,-71.09949343068301,42.37059632198411,1695.0,1895.0
992,2019-10-07 00:28:34.9660,2019-10-07 00:45:07.3800,49,Stuart St at Charles St,42.351146,-71.066289,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,3365,Customer,1969,0,70004,-71.06372527051279,42.35171499533883,247900,-71.0883812862254,42.349590193426046,1714.0,2707.0
966,2019-10-07 00:29:36.9980,2019-10-07 00:45:43.0220,345,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,415,Stuart St at Berkeley St,42.34954403114251,-71.07242073872841,3744,Customer,2001,2,214843,-71.06704685,42.353096349999994,246204,-71.07109409063547,42.3495842328314,1776.0,2743.0
925,2019-10-07 00:29:42.0190,2019-10-07 00:45:07.8110,49,Stuart St at Charles St,42.351146,-71.066289,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,2621,Customer,1969,0,249097,-71.06602465361513,42.35227132337811,247823,-71.08831075123891,42.3496083846181,1782.0,2707.0
